Type,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline
Type 48,1311,1.9,275,255,116,2.2,1.28,.26,1.56,71,.61,133,425
Type 48,1323,3.3,228,185,98,1.8,.83,.61,1.87,1052,.56,151,675
Type 48,1258,1.29,21,20,103,1.48,.58,.53,1.4,76,.58,155,640
Type 48,1317,5.19,232,22,93,1.74,.63,.61,1.55,79,.6,148,725
Type 48,1384,4.12,238,195,89,1.8,.83,.48,1.56,901,.57,164,480
Type 48,1245,3.03,264,27,97,1.9,.58,.63,1.14,75,.67,173,880
Type 48,1434,1.68,27,25,98,2.8,1.31,.53,2.7,13,.57,196,660
Type 48,1348,1.67,264,225,89,2.6,1.1,.52,2.29,1175,.57,178,620
Type 48,1236,3.83,238,21,88,2.3,.92,.5,1.04,765,.56,158,520
Type 48,1369,3.26,254,20,107,1.83,.56,.5,.8,588,.96,182,680
Type 48,1285,3.27,258,22,106,1.65,.6,.6,.96,558,.87,211,570
Type 48,1296,3.45,235,185,106,1.39,.7,.4,.94,528,.68,175,675
Type 48,1378,2.76,23,22,90,1.35,.68,.41,1.03,958,.7,168,615
Type 48,1373,4.36,226,225,88,1.28,.47,.52,1.15,662,.78,175,520
Type 48,1345,3.7,26,23,111,1.7,.92,.43,1.46,1068,.85,156,695
Type 48,1282,3.37,23,195,88,1.48,.66,.4,.97,1026,.72,175,685
Type 48,1358,2.58,269,245,105,1.55,.84,.39,1.54,866,.74,18,750
Type 48,134,4.6,286,25,112,1.98,.96,.27,1.11,85,.67,192,630
Type 48,122,3.03,232,19,96,1.25,.49,.4,.73,55,.66,183,510
Type 48,1416,2.51,248,20,91,1.68,.7,.44,1.24,97,.62,171,660
Type 48,1371,5.65,245,205,95,1.68,.61,.52,1.06,77,.64,174,740
Type 48,134,3.91,248,23,102,1.8,.75,.43,1.41,73,.7,156,750
Type 48,1327,4.28,226,20,120,1.59,.69,.43,1.35,102,.59,156,835
Type 48,1317,2.59,237,20,120,1.65,.68,.53,1.46,93,.6,162,840
Type 48,1413,4.1,274,245,96,2.05,.76,.56,1.35,92,.61,16,560
